2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 1, tcp_pkt_count_tot: 1, udp_pkt_count_tot: 0, icmp_pkt_count_tot: 0, pkt_buf_count: 1, flow_hash_count: 1, pkt_desc_count: 1, circ_buf_L1_count: 1, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 1, pkt_list_count_use: 1, flow_hash_list_count_tot: 1, flow_hash_list_count_use: 1, pkt_desc_list_count_tot: 1, pkt_desc_list_count_use: 1, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 0, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 0, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 2, tcp_pkt_count_tot: 1, udp_pkt_count_tot: 1, icmp_pkt_count_tot: 0, pkt_buf_count: 2, flow_hash_count: 2, pkt_desc_count: 2, circ_buf_L1_count: 0, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 2, pkt_list_count_use: 2, flow_hash_list_count_tot: 2, flow_hash_list_count_use: 2, pkt_desc_list_count_tot: 2, pkt_desc_list_count_use: 2, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 0, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 0, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 3, tcp_pkt_count_tot: 2, udp_pkt_count_tot: 1, icmp_pkt_count_tot: 0, pkt_buf_count: 3, flow_hash_count: 3, pkt_desc_count: 3, circ_buf_L1_count: 1, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 3, pkt_list_count_use: 3, flow_hash_list_count_tot: 3, flow_hash_list_count_use: 3, pkt_desc_list_count_tot: 3, pkt_desc_list_count_use: 3, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 0, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 0, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 4, tcp_pkt_count_tot: 2, udp_pkt_count_tot: 2, icmp_pkt_count_tot: 0, pkt_buf_count: 3, flow_hash_count: 3, pkt_desc_count: 3, circ_buf_L1_count: 1, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 3, pkt_list_count_use: 3, flow_hash_list_count_tot: 3, flow_hash_list_count_use: 3, pkt_desc_list_count_tot: 3, pkt_desc_list_count_use: 3, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 1, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 1, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 5, tcp_pkt_count_tot: 3, udp_pkt_count_tot: 2, icmp_pkt_count_tot: 0, pkt_buf_count: 4, flow_hash_count: 4, pkt_desc_count: 4, circ_buf_L1_count: 2, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 4, pkt_list_count_use: 4, flow_hash_list_count_tot: 4, flow_hash_list_count_use: 4, pkt_desc_list_count_tot: 4, pkt_desc_list_count_use: 4, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 1, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 1, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 6, tcp_pkt_count_tot: 3, udp_pkt_count_tot: 3, icmp_pkt_count_tot: 0, pkt_buf_count: 4, flow_hash_count: 4, pkt_desc_count: 4, circ_buf_L1_count: 2, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 4, pkt_list_count_use: 4, flow_hash_list_count_tot: 4, flow_hash_list_count_use: 4, pkt_desc_list_count_tot: 4, pkt_desc_list_count_use: 4, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 2, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 2, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 7, tcp_pkt_count_tot: 4, udp_pkt_count_tot: 3, icmp_pkt_count_tot: 0, pkt_buf_count: 5, flow_hash_count: 5, pkt_desc_count: 5, circ_buf_L1_count: 3, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 5, pkt_list_count_use: 5, flow_hash_list_count_tot: 5, flow_hash_list_count_use: 5, pkt_desc_list_count_tot: 5, pkt_desc_list_count_use: 5, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 2, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 2, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 8, tcp_pkt_count_tot: 4, udp_pkt_count_tot: 4, icmp_pkt_count_tot: 0, pkt_buf_count: 5, flow_hash_count: 5, pkt_desc_count: 5, circ_buf_L1_count: 3, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 5, pkt_list_count_use: 5, flow_hash_list_count_tot: 5, flow_hash_list_count_use: 5, pkt_desc_list_count_tot: 5, pkt_desc_list_count_use: 5, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 3, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 3, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 9, tcp_pkt_count_tot: 5, udp_pkt_count_tot: 4, icmp_pkt_count_tot: 0, pkt_buf_count: 6, flow_hash_count: 6, pkt_desc_count: 6, circ_buf_L1_count: 4, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 6, pkt_list_count_use: 6, flow_hash_list_count_tot: 6, flow_hash_list_count_use: 6, pkt_desc_list_count_tot: 6, pkt_desc_list_count_use: 6, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 3, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 3, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 10, tcp_pkt_count_tot: 5, udp_pkt_count_tot: 5, icmp_pkt_count_tot: 0, pkt_buf_count: 6, flow_hash_count: 6, pkt_desc_count: 6, circ_buf_L1_count: 4, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 6, pkt_list_count_use: 6, flow_hash_list_count_tot: 6, flow_hash_list_count_use: 6, pkt_desc_list_count_tot: 6, pkt_desc_list_count_use: 6, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 4, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 4, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 11, tcp_pkt_count_tot: 6, udp_pkt_count_tot: 5, icmp_pkt_count_tot: 0, pkt_buf_count: 7, flow_hash_count: 7, pkt_desc_count: 7, circ_buf_L1_count: 5, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 7, pkt_list_count_use: 7, flow_hash_list_count_tot: 7, flow_hash_list_count_use: 7, pkt_desc_list_count_tot: 7, pkt_desc_list_count_use: 7, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 4, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 4, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 12, tcp_pkt_count_tot: 6, udp_pkt_count_tot: 6, icmp_pkt_count_tot: 0, pkt_buf_count: 7, flow_hash_count: 7, pkt_desc_count: 7, circ_buf_L1_count: 5, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 7, pkt_list_count_use: 7, flow_hash_list_count_tot: 7, flow_hash_list_count_use: 7, pkt_desc_list_count_tot: 7, pkt_desc_list_count_use: 7, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 5, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 5, expired_pkt_count_icmp: 0
